EBOOK	TITLE	AUTHOR	MISC
12849	The Tinguian	by Fay-Cooper Cole	[Subtitle: Social, Religious, and Economic Life of a Philippine Tribe]
12850	A Philological Essay Concerning the Pygmies of the Ancients	by Edward Tyson
12851	Folk Tales from the Russian	by Various	[Retold by Verra Xenophontovna Kalamatiano de Blumenthal]
12852	Creation and Its Records	by B. H. Baden-Powell
12853	The Wearing of the Green	by A. M. Sullivan
12854	The Master's Indwelling	by Andrew Murray
12855	Elizabethan Sea Dogs	by William Wood
12856	The Renaissance of the Vocal Art	by Edmund Myer
12857	Beautiful Britain, Cambridge	by Gordon Home
12858	The Lilac Girl	by Ralph Henry Barbour	[Illustrated by Clarence F. Underwood]
12859	Ensign Knightley and Other Stories	by A. E. W. Mason	[Author a.k.a. Alfred Edward Woodley Mason]
12860	Punch, Vol. 100, January 3, 1891	by Various
12861	Theory of the Earth, Vol. 1 of 4	by James Hutton	[Subtitle: With Proofs and Illustrations, in Four Parts]
12863	Campaign of the Indus	by T.W.E. Holdsworth
12864	A Collection of College Words and Customs	by Benjamin Homer Hall
12866	Punch, Vol. 100, Jan. 17, 1891	by Various
12867	The Banquet (Il Convito)	by Dante Alighieri
12868	The Harp of God	by J. F. Rutherford
12870	The Boy Allies On the Firing Line	by Clair Wallace Hayes
12871	The Insurrection in Dublin	by James Stephens
12872	Punch, Vol. 100, Jan. 24, 1891	by Various
12873	The Mirror of Literature, Amusement, & Instruction, Vol. 12, No. 323, July 19, 1828	by Various
12874	The New North	by Agnes Deans Cameron
12875	Life in the Roman World of Nero and St. Paul	by T. G. Tucker
12876	A Young Girl's Wooing	by E. P. Roe
12877	The First Hundred Thousand	by Ian Hay	[Author a.k.a. Major John Hay Beith]	[Subtitle: Being the Unofficial Chronicle of a Unit of K(1)]
12878	The Radio Boys in the Thousand Islands	by J. W. Duffield	[Subtitle: The Yankee-Canadian Wireless Trail]
12879	Voices for the Speechless	by Various	[Subtitle: Selections for Schools and Private Reading]
12880	Three Times and Out	by Nellie L. McClung
12881	Mrs. Budlong's Chrismas Presents	by Rupert Hughes
12882	Minstrelsy of the Scottish Border, Vol. 2 of 3	by Walter Scott
12883	By the Golden Gate	by Joseph Carey	[Subtitle: San Francisco, the Queen City of the Pacific Coast, with Scenes and Incidents Characteristic of its Life]
12884	Reed Anthony, Cowman	by Andy Adams	[Subtitle: An Autobiography]
12885	Bundling; Its Origin, Progress and Decline in America	by Henry Reed Stiles
12886	The Coquette's Victim	by Charlotte M. Braeme
12887	Laugh and Live	by Douglas Fairbanks	[Includes: A Close-Up of Douglas Fairbanks	by George Creel]
12888	The German Classics of the Nineteenth and Twentieth Centuries, Volume 5	by Various	[Subtitle: Masterpieces of German Literature Translated into English.  In Twenty Volumes: Friedrich Schleiermacher, Johann Gottlieb Fichte, and Friedrich Wilhelm Joseph von Schelling]
12890	Elizabethan Demonology	by Thomas Alfred Spalding
12891	Running Water	by A. E. W. Mason	[Author a.k.a. Alfred Edward Woodley Mason]
12892	Simon Magus	by George Robert Stow Mead
12894	Sacred Books of the East	by Various	[Subtitle: Including Selections from the Vedic Hymns, Zend-Avesta, Dhammapada, Upanishads, the Koran, and the Life of Buddha, with Critical and Biographical Sketches by Epiphanius Wilson]
12895	Chief of Scouts	by W. F. Drannan	[Illustrated by E. Bert Smith]
12896	Essays AEsthetical	by George Calvert
12897	The Mirror of Literature, Amusement, & Instruction, Vol. 13, No. 357, February 21, 1829	by Various
12898	The Mirror of Literature, Amusement, & Instruction, Vol. 13, No. 358, February 28, 1829	by Various
12899	The Mirror of Literature, Amusement, & Instruction, Vol. 13, No. 366, April 18, 1829	by Various
12900	Poor Relations	by Honore de Balzac
12901	The Moon-Voyage	by Jules Verne	[Illustrated By Henry Austin]
12902	A Textbook of Theosophy	by C. W. Leadbeater
12903	Symphonies and Their Meaning; Third Series, Modern Symphonies	by Philip H. Goepp
12904	Light	by Henri Barbusse
12905	Punch, Vol. 99, December 13, 1890	by Various
12908	Missing	by Mrs. Humphry Ward	[Author a.k.a. Mary Augusta Arnold Ward]
12909	Romance of the Rabbit	by Francis Jammes
12910	Early Britain, Roman Britain	by Edward Conybeare
12911	A Backward Glance at Eighty	by Charles A. Murdock	[Subtitle: Recollections & Comment]
12912	The Price of Love	by Arnold Bennett	[Subtitle: A Tale]	[Author a.k.a. Enoch Arnold Bennett, a.k.a. E. Arnold Bennett]
12913	Moral Science; A Compendium of Ethics	by Alexander Bain
12914	One Hundred Best Books	by John Cowper Powys	[Subtitle: With Commentary and an Essay on Books and Reading]
12915	The White Devil	by John Webster
12916	The Secret History of the Court of Justinian	by Procopius
12917	Punch, Vol. 99, Dec. 20, 1890	by Various
12918	Iranian Influence on Moslem Literature, Part 1	by M. Inostranzev	[Subtitle: Translated from the Russian, with Supplementary Appendices from Arabic Sources]
12919	A Texas Matchmaker	by Andy Adams
12920	The Goldfish	by Arthur Train	[Subtitle: Being the Confessions af a Successful Man]
12922	Burke	by John Morley
12923	The Laird's Luck and Other Fireside Tales	by Arthur Quiller-Couch	[Author a.k.a. Q]
12924	The World's Best Poetry, Volume 8	by Various
12925	The World's Best Poetry, Volume 10	by Various
12926	The Morris Book, Part 1	by Cecil J. Sharp and Herbert C. Macilwaine
12928	Three Expeditions into the Interior of Eastern Australia, Vol. 1 of 2	by Thomas Mitchell
12929	A Voyage to Terra Australis	by Matthew Flinders
12930	Publications of the Scottish History Society, Vol. 36	by Sir John Lauder	[Subtitle: Journals of Sir John Lauder Lord Fountainhall with His Observations on Public Affairs and Other Memoranda 1665-1676]
12931	The Daredevil	by Maria Thompson Daviess
12932	Four Max Carrados Detective Stories	by Ernest Bramah
12933	Little Journeys to the Homes of Good Men and Great	by Elbert Hubbard	[From: Little Journeys to the Homes of the Great, Vol. 1 of 14]
12934	Punch, Vol. 99, Nov. 1, 1890	by Various
12935	The Song Of The Blood-Red Flower	by Johannes Linnankoski
12936	Young Hunters of the Lake	by Ralph Bonehill	[Subtitle: or, Out with Rod and Gun]
12937	Out with Gun and Camera	by Ralph Bonehill	[Subtitle: or, The Boy Hunters in the Mountains]
12938	The Brighton Boys with the Flying Corps	by James R. Driscoll
12939	The Brighton Boys with the Submarine Fleet	by James R. Driscoll
12940	The Chums of Scranton High Out for the Pennant	by Donald Ferguson	[Subtitle: or, In the Three Town League]
12941	The Scranton High Chums on the Cinder Path	by Donald Ferguson	[Subtitle: or, The Mystery of the Haunted Quarry]
12942	The Highland Fling and How to Teach it	by Horatio N. Grant
12943	The Hilltop Boys on the River	by Cyril Burleigh
12944	Punch, Vol. 99, Dec. 27, 1890	by Various
12945	The Boy Scouts of the Geological Survey	by Robert Shaler
12946	The Boy Scouts on Picket Duty	by Robert Shaler
12947	The Boy Scouts of the Flying Squadron	by Robert Shaler
12948	The Boy Scouts with the Motion Picture Players	by Robert Shaler
12949	Contes Francais	by Douglas Labaree Buffum
12951	Punch, Vol. 100, Jan. 10, 1891, ed. by Sir Francis Burnand
12952	Four Boy Hunters	by Captain Ralph Bonehill	[Subtitle: The Outing of the Gun Club]	[Boy Hunters series, Book 1 of 4]	[Author a.k.a. Edward Stratemeyer]
12953	Sketches of Western North Carolina, Historical & Biographical	by C. L. Hunter	[Subtitle: Illustrating Principally the Revolutionary Period of Mecklenburg, Rowan, Lincoln and Adjoining Counties, Accompanied with Miscellaneous Information, Much of It Never before Published]
12954	The Phantom Ship	by Captain Frederick Marryat
12955	Consanguineous Marriages in the American Population	by George B. Louis Arner
12956	A History of Indian Philosophy, Vol. 1	by Surendranath Dasgupta
12957	The Khaki Boys Over the Top	by Gordon Bates	[Subtitle: Doing and Daring for Uncle Sam]
12958	Pamela, Vol. 2	by Samuel Richardson
12959	Newton Forster, or The Merchant Service	by Frederick Marryat
12960	Lippincott's Magazine of Popular Literature & Science, Vol. 15, No. 90, June, 1875	by Various
12961	The Dock and the Scaffold	by Unknown	[Subtitle: The Manchester Tragedy and the Cruise of the Jacknell]
12962	Hand Shadows To Be Thrown Upon The Wall	by Henry Bursill
12963	Melbourne House, Volume 1	by Susan Warner
12964	Melbourne House, Volume 2	by Susan Warner
12965	The Mirror of Literature, Amusement, & Instruction, Vol. 17, No. 486, April 23, 1831	by Various
12966	The Mirror of Literature, Amusement, & Instruction, Vol. 17, No. 487, April 30, 1831	by Various
12967	Memoirs And Historical Chronicles Of The Courts Of Europe	by Various	[Subtitle: Marguerite de Valois, Madame de Pompadour, and Catherine de Medici]
12968	Our Government: Local, State, & National: Idaho Edn.	by J. A. James and A. H. Sanford
12970	The Head Hunters of Northern Luzon	by Cornelis De Witt Willcox
12971	The Man in Lonely Land	by Kate Langley Bosher
12972	People Like That	by Kate Langley Bosher
12973	Personal Recollections of Pardee Butler
12974	Christmas Entertainments	by Alice Maude Kellogg
12975	International Weekly Miscellany Of Literature, Art, and Science, Vol. 1, No. 2, July 8, 1850	by Various
12976	Early Israel and the Surrounding Nations	by Archibald Sayce
12977	Black Beetles in Amber	by Ambrose Bierce
12978	In Search Of Gravestones Old And Curious	by William Thomas Vincent
12980	The Pony Rider Boys with the Texas Rangers	by Frank Gee Patchin	[Subtitle: On the Trail of the Border Bandits]	[Note: Pony Rider Boys series, Book 8 of 12]
12981	The Thirsty Sword	by Robert Leighton	[Subtitle: A Story of the Norse Invasion of Scotland (1262-1263)]
12982	International Weekly Miscellany Of Literature, Art, and Science, Vol. 1, No. 3, July 15, 1850	by Various
12983	Rescuing the Czar	by James P. Smythe	[Subtitle: Two Authentic Diaries Arranged and Translated]
12984	Eugene Field, A Study In Heredity And Contradictions, Vol. 1 of 2	by Slason Thompson
12985	Eugene Field, A Study In Heredity And Contradictions, Vol. 2 of 2	by Slason Thompson
12986	The Card, A Story Of Adventure In The Five Towns	by Arnold Bennett
12988	In Mizzoura	by Augustus Thomas	[From: Representative Plays by American Dramatists: 1856-1911]
12989	The Lady of Big Shanty	by Frank Berkeley Smith
12990	A Residence in France	by J. Fenimore Cooper	[Subtitle: With An Excursion Up The Rhine, And A Second Visit To Switzerland]
12991	The Uncrowned King	by Harold Bell Wright
12992	The Naval Pioneers of Australia	by Louis Becke and Walter Jeffery
12994	Sydney Smith	by George W. E. Russell
12995	The Matador of the Five Towns and Other Stories	by Arnold Bennett	[Author a.k.a. E. Arnold Bennett]
12996	True Version of the Philippine Revolution	by Don Emilio Aguinaldo y Famy
12997	The Pony Rider Boys in the Grand Canyon	by Frank Gee Patchin	[Subtitle: The Mystery of Bright Angel Gulch]
12998	Thankful Rest	by Annie S. Swan
13000	The Rough Riders	by Theodore Roosevelt
13001	California	by J. Tyrwhitt Brooks	[Author a.k.a. Henry Vizetelly]	[Subtitle: Four Months among the Gold-Finders, Being the Diary]
13002	What I Saw in California	by Edwin Bryant	[Subtitle: A Description of Its Soil, Climate, Productions, and Gold Mines, with the Best Routes and Latest Information for Intending Emigrants; to Which is Annexed an Appendix Containing Official Documents and Letters Authenticating the Accounts of the Quantities of Gold Found, with Its Actual Value Ascertained by Chemical Assay; also Late Communications Containing Accounts of the Highest Interest and Importance from the Gold Districts; with a Map]
13003	Pioneers in Canada	by Sir Harry Johnston	[llustrato: E. Wallcousins]
13004	More Goops and How Not to Be Them	by Gelett Burgess
13005	Francesca da Rimini	by George Henry Boker
13006	Paul Kauvar; or, Anarchy	by Steele Mackaye
13007	The Edda, Vol. 1	by Winifred Faraday	[Subtitle: The Divine Mythology of the North, Popular Studies in Mythology, Romance, and Folklore, No. 12]
13008	The Edda, Vol. 2	by Winifred Faraday	[Subtitle: The Heroic Mythology of the North, Popular Studies in Mythology, Romance, and Folklore, No. 13]
13009	The Reign of Andrew Jackson	by Frederic Austin Ogg	[Subtitle: A Chronicle of the Frontier in Politics]
13010	Frank Mildmay	by Captain Frederick Marryat	[Subtitle: The Naval Officer]
13011	Far Off	by Favell Lee Mortimer	[Author a.k.a. Favell Bevan]	[Subtitle: Asia and Australia Described]
13012	A Compilation of the Messages and Papers of the Presidents, Vol. 7, Ulysses S. Grant
13014	The Talking Deaf Man	by John Conrade Amman	[Subtitle: A Method Proposed, Whereby He Who is Born Deaf, May Learn to Speak, 1692]
13015	Tales of Old Japan	by Algernon Bertram Freeman-Mitford	[Author a.k.a.: Lord Redesdale]
13017	Five Nights	by Victoria Cross	[Author a.k.a. Annie Sophy Cory, Vivian Cory, V. C. Griffin]
13018	The Letters of Elizabeth Barrett Browning, Vol. 1 of 2
13019	Raphael	by Alphonse de Lamartine	[Subtitle: Pages Of The Book Of Life At Twenty]	[Illustrated By Sandoz]
13020	The Boy Allies At Verdun	by Clair W. Hayes
13021	A Compilation of the Messages and Papers of the Presidents, Rutherford B. Hayes
13022	My Book of Indoor Games	by Clarence Squareman
13026	The Atlantic Monthly, Vol. 11, No. 67, May, 1863	by Various
13028	Library Of The World's Best Literature, Ancient & Modern, Vol. 3	by Various
13029	The Art Of The Moving Picture	by Vachel Lindsay
13030	The German Classics of The Nineteenth and Twentieth Centuries, Vol. 9	by Various	[Subtitle: Masterpieces of German Literature Translated into English. In Twenty Volumes.]
13031	Indian Games and Dances with Native Songs	by Alice C. Fletcher
13032	The Book of Noodles	by W. A. Clouston	[Subtitle: Stories Of Simpletons; Or, Fools And Their Follies]
13033	Three Expeditions into the Interior of Eastern Australia, Vol. 2 of 2	by by Thomas Mitchell
13034	Mary Minds Her Business	by George Weston
13035	The Goop Directory	by Gelett Burgess
13037	The Rowley Poems	by Thomas Chatterton
13039	Shenandoah	by Bronson Howard	[Subtitle: Representative Plays by American Dramatists: 1856-1911]
13040	The Prose Works of Jonathan Swift, Vol. 10
13042	Knickerbocker's History of New York, Complete	by Washington Irving
13043	William of Germany	by Stanley Shaw
13044	The Idler in France	by Marguerite Gardiner	[Author a.k.a. Countess of Blessington; Margaret Power]
13045	War-Time Financial Problems	by Hartley Withers
13046	The Historic Thames	by Hilaire Belloc
13047	Daniel Webster	by Henry Cabot Lodge
13048	Where the Sabots Clatter Again	by Katherine Shortall
13049	Reveries of a Schoolmaster	by Francis B. Pearson
13050	The Easiest Way	by Eugene Walter	[Subtitle: Representative Plays by American Dramatists: 1856-1911]
13051	Sketches of Japanese Manners and Customs	by J. M. W. Silver
13052	The Mistress of the Manse	by J. G. Holland
13053	International Weekly Miscellany Of Literature, Art, and Science, Vol. 1, No. 4, July 22, 1850	by Various
13054	A Thane of Wessex	by Charles W. Whistler	[Subtitle: Being a Story of the Great Viking Raids into Somerset]
13055	General History and Collection of Voyages and Travels, Volume 9	by Robert Kerr
13056	The German Classics of The Nineteenth and Twentieth Centuries, Vol. 10	by Various	[Subtitle: Masterpieces of German Literature Translated into English. In Twenty Volumes. Prince Otto Von Bismarck, Count Helmuth Von Moltke, Ferdinand Lassalle]
13057	The Philanderers	by A. E. W. Mason
13058	The Teeth of the Tiger	by Maurice Leblanc
13060	Persian Literature, Volume 2, Comprising The Shah Nameh, The Rubaiyat, The Divan, and The Gulistan	by Various
13061	Lippincott's Magazine of Popular Literature & Science, Vol. 15, No. 87, March, 1875	by Various
13062	Blackwood's Edinburgh Magazine, No. 327, February 1843, Vol. 53	by Various
13064	Persia Revisited	by Thomas Edward Gordon
13065	Beethoven's Letters 1790-1826, Vol. 1 of 2	by Lady Wallace
13066	Lord Elgin	by John George Bourinot
