EBOOK	TITLE	AUTHOR	MISC
358	The Scarlet Car	by Richard Harding Davis
359	Good Stories For Great Holidays	by Frances Jenkins Olcott	[Subtitle: Arranged for Story-Telling and Reading Aloud and for the Children's Own Reading]
360	What is Property?	by P. J. Proudhon	[Subtitle: An Inquiry into the Principle of Right and of Government]
361	Miss Billy Married	by Eleanor H. Porter
362	Miss Billy's Decision	by Eleanor H. Porter
363	The Oakdale Affair	by Edgar Rice Burroughs
364	The Mad King	by Edgar Rice Burroughs
365	The Land of Little Rain	by Mary Austin
366	Bab: A Sub-Deb	by Mary Roberts Rinehart
367	The Country of the Pointed Firs	by Sarah Orne Jewett
368	Acres of Diamonds	by Russell H. Conwell
369	The Outlaw of Torn	by Edgar Rice Burroughs
370	Fortunes and Misfortunes of the Famous Moll Flanders	by Daniel Defoe
371	Literary Blunders	by Henry Benjamin Wheatley
372	Prince Otto	by Robert Louis Stevenson
373	Lay Morals	by Robert Louis Stevenson
374	Fantastic Fables	by Ambrose Bierce
375	An Occurrence at Owl Creek Bridge	by Ambrose Bierce
376	A Journal of the Plague Year	by Daniel Defoe
377	Kansas Women in Literature	by Nettie Garmer Barker
378	White Knight: Tirant lo Blanc	by Joanot Martorell and Marti Johan d'Galba
379	Worldly Ways and Byways	by Eliot Gregory
380	Weir of Hermiston	by Robert Louis Stevenson
381	Memories and Portraits by Robert Louis Stevenson
382	Edinburgh Picturesque Notes	by Robert Louis Stevenson
383	She Stoops to Conquer	by Oliver Goldsmith	[Subtitle: or, The Mistakes of a Night, A Comedy]
384	The Lost Prince	by Frances Hodgson Burnett
385	The Redheaded Outfield and Other Baseball Stories	by Zane Grey
386	Virginibus Puerisque	by Robert Louis Stevenson	[Subtitle: and Other Papers]
387	Vailima Letters	by Robert Louis Stevenson	[Subtitle: being correspondence addressed by Robert Louis Stevenson to Sidney Colvin]
388	The Crossing	by Winston Churchill	[Note: this is the American Winston Churchill]
389	The Great God Pan	by Arthur Machen
390	A Lute of Jade	by L. Cranmer-Byng	[Subtitle: Being Selections from the Classical Poets of China]
391	The Song of Roland	by Anonymous
392	Jerusalem Delivered	by Torquato Tasso
393	The Blue Lagoon, A Romance	by H. de Vere Stacpoole
